type,by,post_message,picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes,likes_count_fb,comments_count_fb,comments_all,comments_base,comments_replies,shares,comment_likes,engagement,post_id,post_link
photo,post_page_54942390562,President Ryken on the topic of his wife_ Lisa: For that girl from Colorado Springs_ only three letters are needed. #wcw #rykenweek,https://scontent.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/p130x130/10984247_10152678350385563_4425929302435449068_n.png?oh=09b8fd0fc4944dc37c5dba60b60f7512&oe=55D1E9E1,https://www.facebook.com/wheatoncollege.il/photos/a.76291075562.92420.54942390562/10152678350385563/?type=1,facebook.com,2015-04-09T02:45:19+0000,1428547519,4/9/2015 4:45,76,76,0,0,0,0,0,0,76,54942390562_10152678350840563,https://www.facebook.com/54942390562/posts/10152678350840563
photo,post_page_54942390562,_All of us are _disabled_ in some way or another simply because our fallen nature constantly puts up barrier between God and us. My ADHD has kept me more emotionally aware of my weakness and vulnerability... which drives me into the arms of my Lord._ Read about the way that Jessica Brown-McBroom _02_ M.A. _06 has seen her weakness turned to strength in #wheatonmag: http://www.wheaton.edu/Media-Center/Wheaton-Magazine/Winter-2015/Alumni-Profiles/Walking-With-Others-Jessica-Brown-McBroom,https://scontent.xx.fbcdn.net/hphotos-xat1/v/t1.0-9/s130x130/11133679_10152676958420563_6971495330034082297_n.jpg?oh=ebb271c8542a5528360d1993d859aca8&oe=55A55982,https://www.facebook.com/wheatoncollege.il/photos/a.76291075562.92420.54942390562/10152676958420563/?type=1,facebook.com,2015-04-09T01:58:01+0000,1428544681,4/9/2015 3:58,47,47,0,0,0,0,3,0,50,54942390562_10152678293000563,https://www.facebook.com/54942390562/posts/10152678293000563
photo,post_page_54942390562,Grad Student Life Week: student Emily Verseveldt blessed us all in Grad Chapel today by reciting Philippians -- the whole book. - PGR #rykenweek,https://scontent.xx.fbcdn.net/hphotos-xtf1/v/t1.0-9/p130x130/11133688_10152677539260563_3387418246219167010_n.png?oh=ae524c8638d0be6909fd4257f5b97565&oe=55D5E907,https://www.facebook.com/wheatoncollege.il/photos/a.76291075562.92420.54942390562/10152677539260563/?type=1,facebook.com,2015-04-08T19:15:00+0000,1428520500,4/8/2015 21:15,126,126,1,1,1,0,4,0,131,54942390562_10152677589015563,https://www.facebook.com/54942390562/posts/10152677589015563
photo,post_page_54942390562,With Paul Lee_ Zack Smiley_ and (the other) David Choi at last night_s JustCo panel on _Poverty and the Image of God._ People who don_t know Dr. Lee should find a way to meet him. From his humble upbringing and research in human trafficking_ he has a lot to share. - PGR  #rykenweek,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/p130x130/10986930_10152677158515563_5107935859310326841_n.png?oh=28a88d8ea4a74e954507d6735065f41e&oe=559DD199&__gda__=1436089487_353efb765e372ad8e7cbaadb94012dbe,https://www.facebook.com/wheatoncollege.il/photos/a.76291075562.92420.54942390562/10152677158515563/?type=1,facebook.com,2015-04-08T15:46:08+0000,1428507968,4/8/2015 17:46,29,29,0,0,0,0,2,0,31,54942390562_10152677158930563,https://www.facebook.com/54942390562/posts/10152677158930563
video,post_page_54942390562,Wheaton College Shark Tank is a new program on campus that encourages student entrepreneurship through idea creation_ mentorship_ and networking opportunities. Learn more at www.wheatonsharktank.com,https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xfp1/v/t15.0-10/s130x130/11114693_10152675997540563_192220086_n.jpg?oh=bf1c6c7404c332a9cd60b69b30e4297a&oe=55DCF51D&__gda__=1436409515_3a43be42460b5a918f5f26b6369486ba,https://www.facebook.com/wheatoncollege.il/videos/10152675994610563/,facebook.com,2015-04-08T15:14:00+0000,1428506040,4/8/2015 17:14,63,63,5,5,5,0,12,1,81,54942390562_10152675994610563,https://www.facebook.com/54942390562/posts/10152675994610563
photo,post_page_54942390562,Today_s cabinet meeting. We meet for three hours every week and mostly enjoy it. Here you see Chelsen_ Farney_ and Melvin. If I hadn_t turned my phone sideways you would also see Jones and Kemp. - PGR #rykenweek #mywheaton,https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/p130x130/11150163_10152676300170563_4555061917955890528_n.png?oh=64c4c05737d631dc9e5526b810b9ce06&oe=55D4E76E&__gda__=1436614295_17d59dfd6dffed3d4d1fd08893335646,https://www.facebook.com/wheatoncollege.il/photos/a.76291075562.92420.54942390562/10152676300170563/?type=1,facebook.com,2015-04-08T02:08:19+0000,1428458899,4/8/2015 4:08,51,53,0,0,0,0,1,0,52,54942390562_10152676300305563,https://www.facebook.com/54942390562/posts/10152676300305563
photo,post_page_54942390562,Know a pastor who could use some time of refreshment at HoneyRock? Share this post to let them know about the upcoming pastors retreat in the Northwoods. At just $75 (including a workshop and overnight stay for two)_ this is an exceptional opportunity for any pastor and their spouse to recharge. It might even be a great opportunity for you or your church to give a gift to the pastor you love. http://bit.ly/PastorRetreat2015,https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/p130x130/11073564_10153138135079449_981425526382080507_n.jpg?oh=f56593a4f4b80eb969f057a00d31d1f1&oe=55985AAC&__gda__=1436504169_6770bb53f297784861d33127e9245a2f,https://www.facebook.com/HoneyRock/photos/a.149683619448.106849.19824964448/10153138135079449/?type=1,facebook.com,2015-04-07T21:20:56+0000,1428441656,4/7/2015 23:20,50,50,3,3,3,0,0,2,55,54942390562_10152675936455563,https://www.facebook.com/54942390562/posts/10152675936455563
photo,post_page_54942390562,From last night_s road trip with two of my best friends (special thanks to generous Wheaton parents for the tickets). Apparently_ D1 has bigger crowds than D3 -- who knew? - PGR  #rykenweek,https://scontent.xx.fbcdn.net/hphotos-xtp1/v/t1.0-9/p130x130/11150572_10152675280755563_835502420180155898_n.png?oh=008fffa66e6890487a1e945f3a840371&oe=55A13119,https://www.facebook.com/wheatoncollege.il/photos/a.76291075562.92420.54942390562/10152675280755563/?type=1,facebook.com,2015-04-07T14:26:43+0000,1428416803,4/7/2015 16:26,185,185,3,3,3,0,2,5,195,54942390562_10152675281050563,https://www.facebook.com/54942390562/posts/10152675281050563
link,post_page_54942390562,_This year has been a lesson of learning that I am inadequate for this job. And that’s ok because the Lord is sufficient.” Kathryn Brightly _16 talks about why she loves being an RA on #mywheaton:,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQDpL0V86YjNwQ_a&w=130&h=130&url=https%3A%2F%2Ffbcdn-sphotos-a-a.akamaihd.net%2Fhphotos-ak-xpf1%2Fv%2Ft1.0-9%2F10451778_10152674360830563_2646973495108750800_n.png%3Foh%3D9303c5ad9e312533675c2e6226b03337%26oe%3D55B32F68%26__gda__%3D1437775895_1a43a3107c66bf04c517dbbd01e34883&cfs=1&sx=245&sy=0&sw=272&sh=272,http://www.wheaton.edu/Student-Life/My-Wheaton,wheaton.edu,2015-04-07T02:03:08+0000,1428372188,4/7/2015 4:03,97,97,2,2,2,0,4,11,114,54942390562_10152674361480563,https://www.facebook.com/54942390562/posts/10152674361480563
photo,post_page_54942390562,Showing true colors with Matt Adams_ who works with the student and alumni entrepreneurs at Tru-Colours. They offer a full spectrum of flesh-toned bandages. This one isn_t right for me_ but would be almost perfect for Matt. #rykenweek,https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/s130x130/10443378_10152673515770563_4404569694042216652_n.jpg?oh=404934206f423e49427090e875508260&oe=55D66DDC&__gda__=1436206371_4387d13e9d5dd8900d699ea4b92a8001,https://www.facebook.com/wheatoncollege.il/photos/a.10151753660955563.1073741833.54942390562/10152673515770563/?type=1,facebook.com,2015-04-06T17:13:06+0000,1428340386,4/6/2015 19:13,97,97,8,8,6,2,12,8,125,54942390562_10152673535150563,https://www.facebook.com/54942390562/posts/10152673535150563
