type,by,post_message,picture,link,link_domain,post_published,post_published_unix,post_published_sql,likes,likes_count_fb,comments_count_fb,comments_all,comments_base,comments_replies,shares,comment_likes,engagement,post_id,post_link
photo,post_page_128219800554550,“We must challenge ourselves to be the ones who will change Africa. We will be the beautiful ones that this continent needs and we must have the conviction that we can do it.” - Patrick Awuah Jr.  2014 was a year full of progress for us at Ashesi_ and we hope it was for you also! Thank you for supporting us on this mission to transform Africa_ and we hope 2015 brings even bigger progress for the continent!   Read some of our most memorable moments here: http://bit.ly/2014atAshesi,https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s130x130/10427296_894249357284920_4337637017368826474_n.jpg?oh=60c2b06467ddf966ebfc4945fda85c62&oe=5597A52D,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/894249357284920/?type=1,facebook.com,2014-12-31T19:06:50+0000,1420052810,12/31/2014 20:06,181,187,6,6,3,3,16,2,205,128219800554550_894277120615477,https://www.facebook.com/128219800554550/posts/894277120615477
photo,post_page_128219800554550,Merry Christmas_ everyone.,https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/s130x130/1910535_889842627725593_5477145147308967062_n.jpg?oh=6fbcb6ab712db1c92f1fb4fe80bbcb58&oe=55A5BAC4&__gda__=1436853059_497eb14cc03734b55f5eb430b3c4b9d9,https://www.facebook.com/Ashesi/photos/a.346107078765820.80167.128219800554550/889842627725593/?type=1,facebook.com,2014-12-25T04:38:00+0000,1419482280,12/25/2014 5:38,348,354,9,9,9,0,10,4,371,128219800554550_889843564392166,https://www.facebook.com/128219800554550/posts/889843564392166
photo,post_page_128219800554550,Thanks to everyone for an amazing year on Facebook. From Ghana to the U.S_ Nigeria to Australia_ and all other countries plugged in with us_ the entire Ashesi community wishes you happy holidays and best wishes for 2015.   We look forward to sharing more stories with you next year. What would you like to see from us? Let us know!,https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s130x130/1653681_886311034745419_3759302954287555523_n.jpg?oh=da44bafe5adf73352c7c503e31234ab5&oe=55D62AF4,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/886311034745419/?type=1,facebook.com,2014-12-22T15:30:16+0000,1419262216,12/22/2014 16:30,269,274,4,2,2,0,27,0,298,128219800554550_888402191202970,https://www.facebook.com/128219800554550/posts/888402191202970
photo,post_page_128219800554550,Proud to be Rwandan? You bet! A big thank you to all Rwandan students at Ashesi_ especially those that led our weekly global learning session_ for taking us on a _tour_ of Rwanda_ and introducing us to the people_ culture and food of _the cleanest country in Africa_! #TeamRwanda,https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s130x130/10847900_885820921461097_5653130077706143382_n.jpg?oh=9dc5945e719768572285c46c04f69dc9&oe=55E40E4E,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/885820921461097/?type=1,facebook.com,2014-12-18T15:30:00+0000,1418916600,12/18/2014 16:30,160,163,7,6,6,0,43,6,215,128219800554550_885873161455873,https://www.facebook.com/128219800554550/posts/885873161455873
photo,post_page_128219800554550,Spread the word: make a donation to Ashesi by 31st December and help us launch our new engineering programme! Learn more about how to get your name on the engineering donor wall: http://bit.ly/1yCS34m,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/s130x130/10849745_885013518208504_6517947060579548512_n.jpg?oh=ffd1b2f29595d404d5abc8ea676b1921&oe=55D9C3DD&__gda__=1436031213_23805d92a6c58a5acf9f160e62052470,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/885013518208504/?type=1,facebook.com,2014-12-16T19:06:06+0000,1418756766,12/16/2014 20:06,155,159,9,9,8,1,29,8,201,128219800554550_885014131541776,https://www.facebook.com/128219800554550/posts/885014131541776
photo,post_page_128219800554550,For the first time in Ashesi_s history_ students have elected an all-female team to lead the university_s student government. Congratulations to Esther Addai _16_ Ewurabena Hagan _16_ Sedem Banini _16 and Onyinye Stephanie Oguego _17 - bit.ly/asc2015,https://scontent.xx.fbcdn.net/hphotos-xft1/v/t1.0-9/s130x130/1381801_884399921603197_7909649443048510933_n.jpg?oh=c193c531bb2f05a28ea3c87f5ffdbd09&oe=55D578EA,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/884399921603197/?type=1,facebook.com,2014-12-15T15:30:02+0000,1418657402,12/15/2014 16:30,522,532,62,59,47,12,60,18,659,128219800554550_884491708260685,https://www.facebook.com/128219800554550/posts/884491708260685
photo,post_page_128219800554550,Grateful to all Americans at Ashesi who helped organise the U.S session of our weekly global learning event; we loved the line dancing lessons and the apple pie_ but also important_ we are thankful for the insider perspectives on discussions around diversity and race in the U.S. Thank you! (#USinGhana US Embassy Ghana),https://scontent.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/s130x130/10685575_880094658700390_4959027154924337664_n.jpg?oh=4831f81abf2d4ce2351b61d22516e06f&oe=55E33D1E,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/880094658700390/?type=1,facebook.com,2014-12-06T16:21:09+0000,1417882869,12/6/2014 17:21,137,141,2,2,1,1,6,1,146,128219800554550_880095098700346,https://www.facebook.com/128219800554550/posts/880095098700346
photo,post_page_128219800554550,_A Harvard alum asked me what I think would have happened to me if I had not studied at Harvard. I told him my life would probably have been the same because I would have come to Ashesi._  A big thank you to Sangu Delle_ named one of Africa_s 30 Most Promising Young Entrepreneurs in 2014 by Forbes_ for speaking about leadership_ failure and learning at the Ashesi Business Week: http://bit.ly/SanguAtAshesi,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/s130x130/1463144_878693642173825_5821080661633093355_n.jpg?oh=c308a92c7e53eb644db77b917791b6be&oe=55A04FA4&__gda__=1440074442_458f8cc56d1d463440b7c043f821986e,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/878693642173825/?type=1,facebook.com,2014-12-03T16:27:26+0000,1417624046,12/3/2014 17:27,524,537,16,16,14,2,44,75,659,128219800554550_878693825507140,https://www.facebook.com/128219800554550/posts/878693825507140
photo,post_page_128219800554550,_Acheke_ from Ivory Coast_ _Poulet Directeur Général_ from Cameroon; Africa has some of the best food in the world!  A thank you to students from Cameroon and Cote d_Ivoire_ for reminding us of African cooking prowess_ and treating us to sights and sounds of their countries when they took their turn at our weekly global learning event!,https://scontent.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/s130x130/1380068_876980569011799_5284866481887131042_n.jpg?oh=968344284aeca227240b2ed0bfbdd6c6&oe=559F75B7,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/876980569011799/?type=1,facebook.com,2014-11-30T17:44:31+0000,1417369471,11/30/2014 18:44,138,140,3,3,3,0,1,2,144,128219800554550_876982532344936,https://www.facebook.com/128219800554550/posts/876982532344936
photo,post_page_128219800554550,_I have always had a feeling of fearlessness. I didn’t know it was supposed to be something special_ it just came naturally to me._   We_re thankful to the legendary Dr. Mrs. Rosina _Archie_ Acheampong_ first black headmistress of Ghana_s Wesley Girls_ High School_ for visiting Ashesi to share her experiences as the head of one of Africa_s best high schools_ her thoughts on women empowerment_ education in Africa and leadership. Remarkable woman! #Thanksgiving #WeyGeyHey,https://scontent.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/s130x130/10624616_875434935833029_3678886397508971015_n.jpg?oh=66b54a9d07631166a2f516605e37ad5a&oe=55D8EEF0,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/875434935833029/?type=1,facebook.com,2014-11-27T16:26:56+0000,1417105616,11/27/2014 17:26,536,547,29,29,29,0,43,35,643,128219800554550_875435319166324,https://www.facebook.com/128219800554550/posts/875435319166324
photo,post_page_128219800554550,Did you know it took over 20_000 people_ and about a 1_000 elephants_ to build India_s Taj Mahal? We learned this and many other wonderful facts about India when students of Indian descent took their turn at our weekly global learning event. Thank you team India!,https://scontent.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/s130x130/1613831_873738776002645_2390462196122631697_n.jpg?oh=5b1e86d76e61387aa3ff2b4e7d4dd259&oe=55DBA29D,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/873738776002645/?type=1,facebook.com,2014-11-24T16:00:01+0000,1416844801,11/24/2014 17:00,135,141,6,6,5,1,5,0,146,128219800554550_873876642655525,https://www.facebook.com/128219800554550/posts/873876642655525
photo,post_page_128219800554550,Africa.com ranks Ashesi 8th on its list of top ten African universities_ based on reputation_ student selectivity_ faculty research and international student ratio: http://bit.ly/1ysDdMN | We look forward to being ranked among African organisations making a contribution to growth and development one day! (Photo: AeroShutter),https://scontent.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/s130x130/10610549_871837939526062_607472944556212911_n.jpg?oh=7bb14de9e0e58744c6511f68d880ea87&oe=55A0994F,https://www.facebook.com/Ashesi/photos/a.236165786426617.58696.128219800554550/871837939526062/?type=1,facebook.com,2014-11-20T16:00:01+0000,1416499201,11/20/2014 17:00,390,395,21,21,19,2,78,17,506,128219800554550_871946632848526,https://www.facebook.com/128219800554550/posts/871946632848526
link,post_page_128219800554550,“I am hopeful that we will stop #Ebola quicker than is projected. [...] and when Liberia is finally Ebola free_ we can continue to work to strengthen the weak systems that allowed it to grow so quickly in the first place.”,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBxSfMzZynQ7yXl&w=130&h=130&url=https%3A%2F%2Fd262ilb51hltx0.cloudfront.net%2Fmax%2F800%2F1%2AXX7cPkuzcn_fdw5Y6_wIow.jpeg&cfs=1&sx=84&sy=0&sw=534&sh=534,https://medium.com/beyond-ashesis-classroom/how-one-liberian-student-at-ashesi-is-helping-his-country-fight-ebola-cf0fb6b48ea,medium.com,2014-11-14T15:25:04+0000,1415978704,11/14/2014 16:25,159,163,6,6,6,0,35,4,204,128219800554550_869164276460095,https://www.facebook.com/128219800554550/posts/869164276460095
photo,post_page_128219800554550,Ashesi University updated their cover photo.,https://scontent.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/s130x130/10806337_868090556567467_3897122701697520701_n.jpg?oh=de5a452fbe5b6e8829920a030c8a621c&oe=55E3F66B,https://www.facebook.com/Ashesi/photos/a.346107078765820.80167.128219800554550/868090556567467/?type=1&relevant_count=1,facebook.com,2014-11-12T15:05:21+0000,1415804721,11/12/2014 16:05,229,237,9,7,7,0,9,6,251,128219800554550_868090636567459,https://www.facebook.com/128219800554550/posts/868090636567459
